Datum;
2022-02-17;
2258;
123444200612;1 295,00
123444201628;1 500,00
274120690004;1 764,00
123444201701;2 440,00
123444201859;2 440,00
123444201917;2 440,00
123444201537;2 500,00
123444200737;8 900,00
