Datum;
2022-03-23;
22101;
123444205850;1 295,00
123444206205;1 400,00
123444206213;1 500,00
123444205058;1 500,00
277081367611;1 693,00
123444204754;1 750,00
123444206361;2 000,00
123444202931;3 025,00
123444206452;3 800,00
