Datum;
2021-03-31;
111;
123444149348;150,00
123444154397;200,00
123444153621;200,00
280112723273;1 660,00
123444149884;2 000,00
123444153290;2 000,00
272011599813;2 050,00
123444153472;2 430,00
123444152979;2 570,00
123444153886;2 570,00
123444153977;2 570,00
123444153688;3 000,00
123444154314;3 050,00
123444154470;3 050,00
