Datum;
2022-06-29;
22228;
123444225536;221,00
123444224257;350,00
276072356815;405,00
123444226047;920,00
123444224471;920,00
123444224679;1 120,00
123444225106;1 300,00
123444224901;2 000,00
263072874211;3 693,00
259073111710;7 661,00
