Datum;
2021-12-03;
21425;
123444189419;125,00
123444191811;462,00
123444191290;500,00
271030220773;509,00
123444189534;550,00
123444190417;600,00
123444186571;600,00
123444189740;675,00
123444175111;700,00
123444190433;900,00
123444189542;1 000,00
123444190441;1 000,00
123444191993;1 400,00
123444190458;1 400,00
123444191100;2 000,00
123444189484;2 000,00
123444192652;2 500,00
123444192595;4 500,00
123444187306;5 600,00
123444190409;8 000,00
