Datum;
2020-11-27;
347;
271103032790;3,00
123444140842;250,00
280041150606;362,00
123444141196;728,00
266100396354;1 008,00
272030585850;1 137,00
123444141345;2 200,00
123444141261;2 200,00
123444141485;2 200,00
123444141352;2 200,00
269121524962;2 945,00
123444139356;2 971,20
284020112538;3 200,00
291122681310;3 249,00
123444141410;3 450,00
123444139307;3 673,75
272082711230;6 060,00
