Datum;
2021-08-25;
21287;
276083057287;66,00
123444165062;500,00
123444167464;2 300,00
123444167316;3 055,00
274061161056;3 429,00
123444165674;4 550,00
123444165864;4 550,00
123444165773;4 875,00
123444165716;6 440,00
123444166219;6 440,00
123444166490;6 440,00
123444166771;6 900,00
123444166292;6 900,00
123444165708;6 900,00
123444166714;6 900,00
123444168066;6 900,00
123444166458;6 900,00
123444166425;9 750,00
123444165880;13 800,00
