Datum;
2022-05-13;
22169;
123444216881;225,00
274011982205;303,00
123444212583;330,00
123444214928;345,00
123444215628;345,00
123444212450;380,00
123444212724;380,00
123444213136;420,00
123444212914;450,00
123444210710;660,00
123444216774;820,00
123444215016;870,00
123444216808;870,00
123444214274;1 340,00
123444216188;1 725,00
123444216865;1 725,00
123444215388;2 200,00
123444214829;2 265,00
123444216402;2 635,00
123444216832;3 000,00
